"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048705","skeletal system morphogenesis","18/295","269/28928",0.0669144981412639,6.56170373637452,9.30213748027145,4.050559813811e-10,1.12922288518416e-06,7.37754196617494e-07,"Hoxc8/Hoxc9/Hoxa5/Thra/Mmp16/Mmp14/Mef2c/Hoxb9/Tfap2a/Tgfb2/Csrnp1/Hoxb6/Dhrs3/Hoxc4/Rflnb/Hoxd8/Gsc/Hoxb5",18
"GO:0048562","embryonic organ morphogenesis","20/295","347/28928",0.0576368876080692,5.65193181263127,8.84888695193728,5.89211001922337e-10,1.12922288518416e-06,7.37754196617494e-07,"Zic1/Hoxc9/Vax2/Hoxa5/Mmp16/Mmp14/Hes1/Mef2c/Hoxb9/Tfap2a/Abr/Tgfb2/Hoxb6/Six3/Naglu/Hoxc4/Gsc/Mfap2/Srf/Hoxb5",20
"GO:0048771","tissue remodeling","16/295","222/28928",0.0720720720720721,7.06746068102,9.21141601481601,1.32587489436838e-09,1.15495065203135e-06,7.54562895954131e-07,"Ptn/Cst3/Klf6/Cdkn2a/Mmp14/Mef2c/Itgav/Agt/Abr/Lipa/Tgfb2/Ubash3b/Car2/Nox4/Jag1/Inpp4b",16
"GO:0048704","embryonic skeletal system morphogenesis","12/295","110/28928",0.109090909090909,10.6975654853621,10.3432357656892,1.46220072465758e-09,1.15495065203135e-06,7.54562895954131e-07,"Hoxc9/Hoxa5/Mmp16/Mmp14/Mef2c/Hoxb9/Tfap2a/Tgfb2/Hoxb6/Hoxc4/Gsc/Hoxb5",12
"GO:0007626","locomotory behavior","18/295","292/28928",0.0616438356164384,6.04485720919433,8.79454562632934,1.50658837990001e-09,1.15495065203135e-06,7.54562895954131e-07,"Egr1/Hexa/Astn1/Grm5/Zic1/Lsamp/Apoe/Cntn1/Sez6l/Adgrl3/Gprc5b/Cnp/Nr4a2/Selenop/Naglu/Eps8/Abat/Kcnma1",18
"GO:0048706","embryonic skeletal system development","13/295","154/28928",0.0844155844155844,8.27787805414924,9.19166725822635,7.18034118379391e-09,4.58704129291367e-06,2.99684766249925e-06,"Hoxc6/Hoxc9/Hoxa5/Mmp16/Mmp14/Mef2c/Hoxb9/Tfap2a/Tgfb2/Hoxb6/Hoxc4/Gsc/Hoxb5",13
"GO:0051402","neuron apoptotic process","19/295","398/28928",0.0477386934673367,4.6813048292309,7.50622727460804,3.37584470204218e-08,1.84851610613253e-05,1.20768940543735e-05,"Tnfrsf1a/Egr1/Mt3/Apoe/Mt1/Mdga2/Mef2c/Nr4a2/Agt/Tfap2a/Tgfb2/Tnfrsf21/Grid2/Aatk/Ppargc1a/Crlf1/Nefl/Bdnf/Kcnma1",19
"GO:0009410","response to xenobiotic stimulus","21/295","498/28928",0.0421686746987952,4.13510312436185,7.16320452743753,5.30806423067649e-08,2.54322627452287e-05,1.66156379010255e-05,"Fos/Gstm5/Plin2/Fosb/Rap1a/Slc1a3/Nfkbiz/Cdkn2a/Atp1a1/Gsta4/Cyp2j6/Mef2c/Rap1b/Smpd1/Lipa/Abca1/Slc1a2/Abat/Bdnf/Rora/Tlr3",21
"GO:0043523","regulation of neuron apoptotic process","17/295","331/28928",0.0513595166163142,5.03636642941267,7.49676027943681,6.34968687363422e-08,2.70426108740444e-05,1.76677252308489e-05,"Tnfrsf1a/Egr1/Mt3/Apoe/Mt1/Mdga2/Mef2c/Nr4a2/Agt/Tfap2a/Tgfb2/Grid2/Ppargc1a/Crlf1/Nefl/Bdnf/Kcnma1",17
"GO:0007611","learning or memory","17/295","356/28928",0.047752808988764,4.68268901161683,7.09657837297948,1.79576917608674e-07,6.5703462499721e-05,4.29259854962682e-05,"Dbi/Fos/Egr1/Ptn/Grm5/Apoe/Gm2a/Thra/Atp8a1/Mef2c/Nr4a2/Agt/Adgrb3/Neto1/Bdnf/Adrb1/Srf",17
"GO:0050890","cognition","18/295","401/28928",0.0448877805486284,4.40174140918889,6.9626523498772,1.94856595218873e-07,6.5703462499721e-05,4.29259854962682e-05,"Dbi/Fos/Egr1/Ptn/Grm5/Apoe/Cbr3/Gm2a/Thra/Atp8a1/Mef2c/Nr4a2/Agt/Adgrb3/Neto1/Bdnf/Adrb1/Srf",18
"GO:0010959","regulation of metal ion transport","19/295","447/28928",0.0425055928411633,4.16814166003109,6.85188422520325,2.05698291154879e-07,6.5703462499721e-05,4.29259854962682e-05,"Dbi/Serpine2/Stim2/Cask/Atp1b2/Per1/Atp1a1/Cntn1/Hes1/Agt/Tgfb2/Ubash3b/Ehd3/Scn1b/Neto1/Hrc/Atp2b4/Adrb1/Rgs7",19
"GO:0048511","rhythmic process","17/295","364/28928",0.0467032967032967,4.57977276960328,6.97631238094562,2.45698253292051e-07,7.24431849898793e-05,4.73292424762582e-05,"Egr1/Ptn/Myh9/Per1/A2m/Klf9/Agt/Hlf/Ppargc1a/Six3/Naglu/Phlpp1/Bdnf/Rora/Adrb1/Kcnma1/Per3",17
"GO:0042063","gliogenesis","18/295","417/28928",0.0431654676258993,4.2328496524814,6.7495775143662,3.45701409786019e-07,9.46481074078437e-05,6.18363649534541e-05,"Dbi/Ptn/Metrn/Serpine2/Ncan/Atp1b2/Mmp14/Cntn1/Hes1/Cnp/Agt/Tgfb2/Cspg5/Tnfrsf21/Ptprj/Lamb2/Naglu/Wasf3",18
"GO:0031589","cell-substrate adhesion","17/295","377/28928",0.0450928381962865,4.42184957065144,6.78813085545027,4.01575209219882e-07,9.74438324390295e-05,6.36628935346647e-05,"Ptn/Myh9/Ajap1/Cdkn2a/Cask/Atp1b2/Coro2b/Mmp14/Itgav/Agt/Cdh13/Cspg5/Ttyh1/Ptprj/Lamb2/Jag1/Srf",17
