"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Nap1l5",0,-7.33917930000194,0.01,0.93,0,"0","Nap1l5"
"Trap1a",1.35679424882581e-234,-7.0081811626367,0.013,0.639,2.1467198604922e-230,"0","Trap1a"
"Mageb16",1.12328382667385e-227,-7.45152380814482,0.006,0.604,1.77725967056336e-223,"0","Mageb16"
"Gstp1",2.84916507863958e-223,-3.24491698512403,0.185,0.952,4.50794898742354e-219,"0","Gstp1"
"8030474K03Rik",1.96064987140447e-173,-7.81882145606652,0.003,0.465,3.10214022653616e-169,"0","8030474K03Rik"
"Nnat",4.02231994072153e-152,-6.36261145564529,0.028,0.496,6.36411461020961e-148,"0","Nnat"
"Gm4779",5.6023559613632e-136,-6.80776626755752,0.003,0.374,8.86404760206885e-132,"0","Gm4779"
"Zwint",5.11344666924213e-129,-1.25819767337156,0.95,0.998,8.0904953200749e-125,"0","Zwint"
"Gria3",1.33719696718021e-119,5.62206245451024,0.691,0.015,2.11571304147253e-115,"0","Gria3"
"Ppa1",9.15544819280596e-113,-1.30012800858936,0.845,0.978,1.44857501306576e-108,"0","Ppa1"
"Tnfrsf1a",1.57883218664304e-107,3.04188574337559,0.748,0.119,2.49802828570662e-103,"0","Tnfrsf1a"
"Dbi",1.89463079685112e-104,0.54521728725573,1,1,2.99768484677784e-100,"0","Dbi"
"Ifitm3",6.82410027085227e-103,-2.86378057317399,0.265,0.725,1.07970914485425e-98,"0","Ifitm3"
"Timp1",7.76583472067556e-100,-3.80425748178038,0.035,0.394,1.22871036950529e-95,"0","Timp1"
"Tmem176a",4.12625143133187e-98,1.29301024760913,0.999,0.976,6.52855501465329e-94,"0","Tmem176a"
"Anapc16",1.05487942808459e-97,-1.08188590233835,0.836,0.993,1.66903023111544e-93,"0","Anapc16"
"H2afy2",1.22130259881071e-96,-1.74164217839413,0.475,0.888,1.93234497183831e-92,"0","H2afy2"
"Gm10036",1.16210820788449e-95,-0.949928819337545,0.93,0.996,1.83868760651484e-91,"0","Gm10036"
"Cisd1",2.84999249926561e-95,-0.832723328731335,0.987,1,4.50925813233804e-91,"0","Cisd1"
"Ptn",9.39507479598576e-94,0.805102423011846,1,1,1.48648873422087e-89,"0","Ptn"
"Fos",1.66729236994784e-93,2.16530086986753,0.933,0.573,2.63798998773148e-89,"0","Fos"
"Serinc1",8.13646265894199e-90,-0.891464503917961,0.955,0.998,1.2873511218978e-85,"0","Serinc1"
"Asf1a",1.00948410118489e-89,-1.24883041848493,0.761,0.96,1.59720574489474e-85,"0","Asf1a"
"mt-Nd1",1.45566028660965e-87,0.325802197456028,1,1,2.30314570547379e-83,"0","mt-Nd1"
"Hnrnph3",1.4300296158974e-86,-1.40748041081092,0.615,0.921,2.26259285827287e-82,"0","Hnrnph3"
"Hexa",4.00916704520376e-86,1.48070062593756,0.93,0.628,6.34330409892139e-82,"0","Hexa"
"Egr1",5.55233554614046e-86,1.32433985085751,0.985,0.819,8.78490530110343e-82,"0","Egr1"
"Ier2",9.38163690388979e-85,1.72319435722022,0.951,0.74,1.48436259093344e-80,"0","Ier2"
"Gm26917",2.93712664355457e-81,-1.11025549853068,0.974,1,4.64712177543204e-77,"0","Gm26917"
"Metrn",4.12486946653597e-81,0.778237928306992,1,0.996,6.52636846995321e-77,"0","Metrn"
"Fam213a",1.32421634781038e-80,-3.95532345597138,0.022,0.306,2.09517510550558e-76,"0","Fam213a"
"Eif4ebp2",3.42919658990224e-80,-1.05180956182453,0.812,0.978,5.42567484454332e-76,"0","Eif4ebp2"
"mt-Co3",4.08192635006319e-80,0.330541183847972,1,1,6.45842387106998e-76,"0","mt-Co3"
"Skap2",8.18228101784654e-80,0.929515571549816,0.999,0.956,1.29460050264368e-75,"0","Skap2"
"Tfam",2.74336821382281e-79,-1.40639803064695,0.576,0.894,4.34055718791045e-75,"0","Tfam"
"Gnas",8.71543383353365e-77,0.364067050946345,1,1,1.37895594114169e-72,"0","Gnas"
"Rab38",1.45830443560498e-76,4.98278587024786,0.52,0.015,2.30732927801419e-72,"0","Rab38"
"Psap",3.68575371844148e-76,-0.671263607714149,0.999,1,5.83159953331812e-72,"0","Psap"
"Bag3",9.28292250841065e-76,3.6731220841658,0.558,0.048,1.46874399928073e-71,"0","Bag3"
"Nr4a1",4.86209393077544e-75,4.01093376593175,0.589,0.099,7.6928050172729e-71,"0","Nr4a1"
"Slc50a1",1.71409606489303e-74,-1.87175873933225,0.294,0.718,2.71204279387375e-70,"0","Slc50a1"
"Sar1a",3.56993000268004e-74,-0.883125506059611,0.927,0.993,5.64834325024036e-70,"0","Sar1a"
"Gstm5",3.91585595543303e-73,4.90459951689038,0.507,0.015,6.19566729268614e-69,"0","Gstm5"
"Igfbp4",2.43366904542836e-71,0.996427393318939,0.997,0.987,3.85055116367676e-67,"0","Igfbp4"
"Ube2d1",3.1567366994262e-71,-1.29917762896735,0.578,0.879,4.99458880583213e-67,"0","Ube2d1"
"Cd81",6.56670810437109e-71,0.636251145009549,1,1,1.03898455627359e-66,"0","Cd81"
"Astn1",1.32161668405365e-70,1.39216391276885,0.91,0.67,2.09106191750969e-66,"0","Astn1"
"Calb2",4.65730958243312e-70,-2.54636336799005,0.217,0.623,7.36879522132568e-66,"0","Calb2"
"Tfpi",9.36855373381479e-70,-2.68889047367572,0.083,0.419,1.48229257176418e-65,"0","Tfpi"
"Mfge8",9.93938807768982e-69,1.18974136838796,0.99,0.916,1.57260998165208e-64,"0","Mfge8"
"Hotairm1",2.55907647202217e-67,1.24766629620322,0.974,0.861,4.04897079403348e-63,"0","Hotairm1"
"Bche",2.04385438388091e-65,-1.94190294020906,0.126,0.502,3.23378640617638e-61,"0","Bche"
"Ddx50",6.19844939992987e-65,-0.961790991672595,0.785,0.958,9.80718664056903e-61,"0","Ddx50"
"Junb",3.18982619353896e-64,2.09275007124955,0.812,0.449,5.04694300341734e-60,"0","Junb"
"Bsg",3.11305473078943e-63,0.402418380688518,1,1,4.92547519505503e-59,"0","Bsg"
"Uba52",6.70827674259656e-63,-0.286413770137783,1,1,1.06138354621363e-58,"0","Uba52"
"Tmem176b",9.71754899066158e-63,0.762642524340018,1,1,1.53751060130247e-58,"0","Tmem176b"
"Gja1",1.03997267785719e-62,-1.67390724572556,0.307,0.703,1.64544477090564e-58,"0","Gja1"
"Myh9",2.72007501565503e-62,1.92034139830531,0.716,0.315,4.30370268976938e-58,"0","Myh9"
"Atp6v0e2",3.47451259831013e-62,1.19294454104083,0.9,0.744,5.49737383304629e-58,"0","Atp6v0e2"
"Plagl1",2.05773256420416e-61,-4.46150884330842,0.004,0.189,3.25574446308382e-57,"0","Plagl1"
"H13",2.99408663746056e-60,-1.84282956430467,0.698,0.855,4.7372438777901e-56,"0","H13"
"Lims1",1.04398145937053e-59,-0.805939232969902,0.935,0.993,1.65178746501605e-55,"0","Lims1"
"H2afy",1.25614936060072e-59,-0.62720578989981,0.999,1,1.98747951834245e-55,"0","H2afy"
"Gm47283",3.82508157554023e-59,-0.619409418300927,1,1,6.05204406881975e-55,"0","Gm47283"
"Rpl36al",1.17231181452619e-58,-0.470299942952344,1,1,1.85483175294334e-54,"0","Rpl36al"
"Rps2",2.65435821486258e-58,-0.254276390123847,1,1,4.19972556755557e-54,"0","Rps2"
"Gm10076",7.82133360374375e-57,0.254045526435527,1,1,1.23749140278434e-52,"0","Gm10076"
"Pcsk1n",1.40382195601108e-56,1.05342628394472,0.942,0.758,2.22112709880073e-52,"0","Pcsk1n"
"Serpine2",1.74213787708459e-56,0.756350421041115,1,1,2.75641054912323e-52,"0","Serpine2"
"Cp",3.93870422987315e-56,1.15831831557963,0.962,0.83,6.2318178325053e-52,"0","Cp"
"Vps26a",3.95493229609443e-56,-1.26468287735568,0.48,0.8,6.25749387888061e-52,"0","Vps26a"
