"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nap1l5",0,-12.4229466921676,0,0.869,0
"Gstp1",1.91804282195277e-246,-3.40720178271038,0.16,0.95,3.03472735289367e-242
"Trap1a",5.38577619805384e-231,-11.8958006039386,0.003,0.606,8.52137510056079e-227
"Mageb16",3.91378546489715e-215,-11.0387226745752,0.001,0.563,6.19239136256028e-211
"8030474K03Rik",4.40963949432517e-159,-10.2282640689092,0,0.427,6.97693160792129e-155
"Zwint",4.06656614212906e-147,-1.32803805685307,0.948,0.998,6.4341209500766e-143
"Nnat",4.85667562881183e-147,-7.07757465460052,0.022,0.467,7.68423217990608e-143
"Gria3",3.44753626642523e-134,5.63023763271147,0.71,0.022,5.45469188073801e-130
"Gm4779",1.69382689024589e-126,-9.65233538005312,0,0.346,2.67997290574705e-122
"Ppa1",1.22285724895929e-119,-1.31714473116769,0.842,0.974,1.93480473930339e-115
"Dbi",1.3681099085717e-115,0.546960590166544,1,1,2.16462349734215e-111
"Cisd1",5.86599940316572e-112,-0.891595093850433,0.986,1,9.2811842556888e-108
"Gm10036",3.79018793500747e-111,-1.00539083653549,0.927,0.996,5.99683535076881e-107
"Anapc16",6.14414862934161e-111,-1.13555522478005,0.832,0.992,9.72127196134429e-107
"Tmem176a",1.7033053204774e-110,1.31089737531837,0.999,0.978,2.69496967805935e-106
"H2afy2",7.37767516653991e-107,-1.8015625177398,0.463,0.885,1.16729576484994e-102
"Fos",7.48673794365543e-104,2.16340716696996,0.944,0.575,1.18455167744516e-99
"Tnfrsf1a",2.52707647612475e-102,2.51674834426805,0.753,0.167,3.99834040052457e-98
"Egr1",2.9568079671978e-102,1.39850353062714,0.99,0.821,4.67826156570036e-98
"mt-Nd1",1.51752047670847e-99,0.336038297424732,1,1,2.40102089824814e-95
"Timp1",2.41354707620491e-99,-4.02459885564167,0.03,0.376,3.81871418397141e-95
"Ier2",4.3458743093182e-99,1.78545765080548,0.957,0.744,6.87604233220326e-95
"Serinc1",3.52302097944457e-97,-0.918205999389516,0.953,0.998,5.57412379367719e-93
"Ptn",1.24014668109463e-96,0.766863217923755,1,1,1.96216007882792e-92
"Asf1a",8.85906353786276e-95,-1.26162986142001,0.756,0.956,1.40168103296065e-90
"Ifitm3",1.5262057017687e-94,-2.79421583077986,0.263,0.688,2.41476266133843e-90
"Hexa",6.70946515419203e-94,1.45026648038027,0.938,0.634,1.06157157669626e-89
"Hnrnph3",1.43488213204843e-93,-1.42080908445809,0.605,0.92,2.27027050932702e-89
"Eif4ebp2",1.40359200808584e-91,-1.11359215156092,0.807,0.974,2.22076327519342e-87
"Psap",6.09753087833906e-91,-0.72000888530688,0.999,1,9.64751335570805e-87
"Bag3",2.84084374003925e-90,4.04044696446962,0.577,0.04,4.49478296549011e-86
"Fam213a",2.64640490956712e-88,-4.46836807346383,0.015,0.302,4.1871418479171e-84
"Tfam",4.28680622458189e-87,-1.44896667064803,0.566,0.893,6.78258480853346e-83
"Nr4a1",6.57841019366212e-87,4.13415282312859,0.606,0.095,1.04083606084122e-82
"Slc50a1",6.53890882596097e-85,-1.95863409098099,0.278,0.724,1.03458615444354e-80
"Metrn",1.61966845318274e-84,0.756005291708608,1,0.996,2.56263942662572e-80
"Sar1a",2.72322182409568e-84,-0.920249667484222,0.924,0.994,4.30868157008418e-80
"Gm26917",2.16612234705164e-83,-1.10629768325371,0.974,0.998,3.42723877750511e-79
"mt-Co3",4.25650958814695e-82,0.325462415137112,1,1,6.7346494703661e-78
"Gnas",3.46407872239753e-80,0.358535387094977,1,1,5.48086535457737e-76
"Ube2d1",8.9269977001878e-80,-1.33857885101658,0.569,0.879,1.41242957612371e-75
"Skap2",3.39789412251936e-79,0.874525054650653,0.999,0.96,5.37614808065014e-75
"Gstm5",2.23361796703643e-78,4.08431758457618,0.518,0.028,3.53403034744503e-74
"Junb",2.24835473743231e-75,2.16954238322146,0.823,0.451,3.55734686556539e-71
"Lims1",2.2545950602559e-75,-0.883499888915885,0.933,0.994,3.56722030433689e-71
"Bche",2.27096571114061e-75,-2.11369519752653,0.113,0.503,3.59312194816667e-71
"Igfbp4",2.53327700111247e-75,0.973084286291437,0.998,0.986,4.00815087116015e-71
"Hotairm1",1.44566538373658e-74,1.24689858646642,0.974,0.871,2.28733177014802e-70
"Astn1",1.94339523090874e-74,1.35386493210282,0.914,0.682,3.0748399343438e-70
"Tmem176b",7.13313944234318e-72,0.778905248628497,1,1,1.12860532256754e-67
